SentPackets,Q5,Q2,Q1,Q5,Q2,Q1
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
SNIRLostPackets,Q5,Q2,Q1,Q5,Q2,Q1
1,666,666,1536,2,2,2
2,0,0,1503,2,2,2
3,1613,1613,958,2,2,2
4,1124,1124,122,0,0,0
5,947,947,1399,2,2,2
6,644,644,2100,2,2,2
7,375,375,2071,2,2,2
8,317,317,1939,2,2,2
9,191,191,1722,2,2,2
10,238,238,1575,2,2,2
11,276,276,1449,2,2,2
12,307,307,790,0,0,0
13,751,751,631,2,2,2
14,333,333,635,0,0,0
15,348,348,653,0,0,0
16,358,358,1743,2,2,2
17,391,391,651,0,0,0
18,361,361,643,0,0,0
19,393,393,655,0,0,0
20,70,70,698,0,0,0
21,40,40,728,0,0,0
22,10,10,610,0,0,0
23,24,24,471,0,0,0
24,226,226,267,0,0,0
25,46,46,1759,2,2,2
26,93,93,1498,2,2,2
27,85,85,1002,2,2,2
28,61,61,1757,2,2,2
29,42,42,1916,2,2,2
30,41,41,1911,2,2,2
31,36,36,2024,0,0,0
32,35,35,678,2,2,2
33,34,34,1493,3,3,3
34,31,31,1494,2,2,2
35,794,794
36,13,13
37,0,0
38,1099,1099
39,1660,1660
40,1817,1817
41,1963,1963
42,1922,1922
43,722,722
44,732,732
45,620,620
46,360,360
47,1381,1381
48,1379,1379
49,666
50,0
51,1613
52,1124
53,947
54,644
55,375
56,317
57,191
58,238
59,276
60,307
61,751
62,333
63,348
64,358
65,391
66,361
67,393
68,70
69,40
70,10
71,24
72,226
73,46
74,93
75,85
76,61
77,42
78,41
79,36
80,35
81,34
82,31
83,794
84,13
85,0
86,1099
87,1660
88,1817
89,1963
90,1922
91,722
92,732
93,620
94,360
95,1381
96,1379
TotalLostPackets,Q5,Q2,Q1,Q5,Q2,Q1
1,666,666,1536,2,2,2
2,336,336,1503,2,2,2
3,1613,1613,1501,2,2,2
4,1124,1124,122,0,0,0
5,947,947,1399,2,2,2
6,644,644,2100,2,2,2
7,375,375,2071,2,2,2
8,317,317,1939,2,2,2
9,191,191,1722,2,2,2
10,239,239,1575,2,2,2
11,276,276,1449,2,2,2
12,307,307,1163,1,1,1
13,751,751,1174,2,2,2
14,333,333,635,0,0,0
15,348,348,653,0,0,0
16,359,359,1743,2,2,2
17,391,391,651,0,0,0
18,361,361,643,0,0,0
19,393,393,655,0,0,0
20,70,70,698,0,0,0
21,40,40,728,0,0,0
22,10,10,610,0,0,0
23,24,24,471,0,0,0
24,562,562,267,0,0,0
25,46,46,1759,2,2,2
26,93,93,1498,2,2,2
27,85,85,1591,2,2,2
28,61,61,1757,2,2,2
29,42,42,1916,2,2,2
30,41,41,1911,2,2,2
31,36,36,2024,1,1,1
32,35,35,1230,2,2,2
33,34,34,1493,3,3,3
34,31,31,1494,2,2,2
35,794,794
36,13,13
37,0,0
38,1099,1099
39,1660,1660
40,1817,1817
41,1963,1963
42,1922,1922
43,722,722
44,732,732
45,620,620
46,360,360
47,1381,1381
48,1379,1379
ReceivedBroadcasts,Q5,Q2,Q1,Q5,Q2,Q1
1,22382,22382,28808,30342,30342,30342
2,28332,28332,28789,30290,30290,30290
3,27677,27677,28758,30257,30257,30257
4,23305,23305,5820,5942,5942,5942
5,22642,22642,28015,29412,29412,29412
6,22046,22046,20433,22531,22531,22531
7,21331,21331,20055,22124,22124,22124
8,20395,20395,19765,21702,21702,21702
9,18016,18016,19549,21269,21269,21269
10,17483,17483,19250,20823,20823,20823
11,16958,16958,18776,20223,20223,20223
12,16524,16524,18222,19384,19384,19384
13,28643,28643,17069,18241,18241,18241
14,16163,16163,10500,11135,11135,11135
15,15832,15832,10003,10656,10656,10656
16,15377,15377,27566,29307,29307,29307
17,14873,14873,9477,10128,10128,10128
18,14511,14511,8901,9544,9544,9544
19,13893,13893,8264,8919,8919,8919
20,9785,9785,7441,8139,8139,8139
21,9322,9322,6368,7096,7096,7096
22,8954,8954,5088,5698,5698,5698
23,8599,8599,3659,4130,4130,4130
24,29491,29491,1833,2100,2100,2100
25,8285,8285,27365,29122,29122,29122
26,7771,7771,27316,28812,28812,28812
27,3182,3182,26722,28311,28311,28311
28,2948,2948,26018,27773,27773,27773
29,2702,2702,25189,27103,27103,27103
30,2404,2404,21293,23202,23202,23202
31,2087,2087,20856,22879,22879,22879
32,1764,1764,27148,28376,28376,28376
33,1411,1411,21240,22730,22730,22730
34,1060,1060,21239,22731,22731,22731
35,29793,29793
36,687,687
37,320,320
38,29806,29806
39,29542,29542
40,29331,29331
41,28797,28797
42,28242,28242
43,24054,24054
44,25333,25333
45,26430,26430
46,27504,27504
47,32455,32455
48,32457,32457
49,22382
50,28332
51,27677
52,23305
53,22642
54,22046
55,21331
56,20395
57,18016
58,17483
59,16958
60,16524
61,28643
62,16163
63,15832
64,15377
65,14873
66,14511
67,13893
68,9785
69,9322
70,8954
71,8599
72,29491
73,8285
74,7771
75,3182
76,2948
77,2702
78,2404
79,2087
80,1764
81,1411
82,1060
83,29793
84,687
85,320
86,29806
87,29542
88,29331
89,28797
90,28242
91,24054
92,25333
93,26430
94,27504
95,32455
96,32457
